REAPER ACTIONS WITH DESCRIPTIONS
Format: ActionID|Description
40425|Envelope: Set default point shape to slow start/end
40428|Envelope: Set shape of selected points to fast start
40429|Envelope: Set shape of selected points to fast end
40430|Envelope: Set default point shape to fast start
40431|Envelope: Set default point shape to fast end
40433|Item properties: Set item timebase to time
40434|View: Move edit cursor to play cursor
40435|Options: Show all takes (when room)
40436|Item: Apply track/take FX to items (MIDI output)
40437|Item properties: Toggle item play all takes
40438|Take: Implode items across tracks into takes
40439|Item: Set selected media online
40440|Item: Set selected media temporarily offline
40441|Peaks: Rebuild peaks for selected items
40442|Help: Check for new versions
40444|Screenset: Load track view #01
40445|Screenset: Load track view #02
40446|Screenset: Load track view #03
40447|Screenset: Load track view #04
40448|Screenset: Load track view #05
40449|Screenset: Load track view #06
40450|Screenset: Load track view #07
40451|Screenset: Load track view #08
40452|Screenset: Load track view #09
40453|Screenset: Load track view #10
40454|Screenset: Load window set #01
40455|Screenset: Load window set #02
40456|Screenset: Load window set #03
40457|Screenset: Load window set #04
40458|Screenset: Load window set #05
40459|Screenset: Load window set #06
40460|Screenset: Load window set #07
40461|Screenset: Load window set #08
40462|Screenset: Load window set #09
40463|Screenset: Load window set #10
40464|Screenset: Save track view #01
40465|Screenset: Save track view #02
40466|Screenset: Save track view #03
40467|Screenset: Save track view #04
40468|Screenset: Save track view #05
40469|Screenset: Save track view #06
40470|Screenset: Save track view #07
40471|Screenset: Save track view #08
40472|Screenset: Save track view #09
40473|Screenset: Save track view #10
40474|Screenset: Save window set #01
40475|Screenset: Save window set #02
40476|Screenset: Save window set #03
40477|Screenset: Save window set #04
40478|Screenset: Save window set #05
40479|Screenset: Save window set #06
40480|Screenset: Save window set #07
40481|Screenset: Save window set #08
40482|Screenset: Save window set #09
40483|Screenset: Save window set #10
40484|Item properties: Set item timebase to beats (position, length, rate)
40485|Item properties: Set item timebase to beats (position only)
40486|Track properties: Set track timebase to project default
40487|Track properties: Set track timebase to time
40488|Track properties: Set track timebase to beats (position, length, rate)
40489|Track properties: Set track timebase to beats (position only)
40490|Track: Arm all tracks for recording
40491|Track: Unarm all tracks for recording
40492|Track: Set track record monitor to off
40493|Track: Set track record monitor to on
40494|Track: Set track record monitor to auto/tape
40495|Track: Cycle track record monitor
40496|Track: Set track record mode to input
40497|Track: Set track record mode to output (stereo)
40498|Track: Set track record mode to none (monitoring only)
40499|Track: Set track record mode to output (stereo latency compensated)
40500|Track: Set track record mode to MIDI output
40501|Track: Set track record mode to output (mono)
40502|Track: Set track record mode to output (mono latency compensated)
40503|Track: Set track record mode to MIDI overdub
40504|Track: Set track record mode to MIDI replace
40505|Track: Select last touched track
40507|Options: Offset overlapping media items vertically
40508|Item: Trim items to selected area
40509|Item: Fade items in to cursor
40510|Item: Fade items out from cursor
40511|Item: Trim items left of cursor
40512|Item: Trim items right of cursor
40513|View: Move edit cursor to mouse cursor
40514|View: Move edit cursor to mouse cursor (no snapping)
40515|Item properties: Pitch item up one octave
40516|Item properties: Pitch item down one octave
40517|Item properties: Increase item rate by ~6% (one semitone)
40518|Item properties: Decrease item rate by ~6% (one semitone)
40519|Item properties: Increase item rate by ~0.6% (10 cents)
40520|Item properties: Decrease item rate by ~0.6% (10 cents)
40521|Transport: Set playrate to 1.0
40522|Transport: Increase playrate by ~6% (one semitone)
40523|Transport: Decrease playrate by ~6% (one semitone)
40524|Transport: Increase playrate by ~0.6% (10 cents)
40525|Transport: Decrease playrate by ~0.6% (10 cents)
40526|Transport: Apply playrate to current BPM (no reset playrate)
40527|View: Clear all peak indicators
40528|Item: Select item under mouse cursor
40529|Item: Select item under mouse cursor (leaving other items selected)
40530|Item: Toggle selection of item under mouse cursor
40531|Transport: Show playrate control
40532|Transport: Show play state as text
40533|Transport: Center transport controls
40534|Transport: Time unit: Measures.Beats / minutes:Seconds
40535|Track: Set all FX offline for selected tracks
40536|Track: Set all FX online for selected tracks
40537|Track: Render tracks to mono post-fader stem tracks (and mute originals)
40541|Item: Set snap offset to cursor
40542|Item: Set snap offset to nearest grid line
40543|Take: Implode items on same track into takes
40547|Item properties: Loop section of audio item source
40548|Item: Heal splits in items
40549|Mixer: Toggle show FX inserts (when size permits)
40557|Mixer: Toggle show sends (when size permits)
40566|Item properties: Toggle take preserve pitch
40567|Locking: Clear all lock modes
40568|Locking: Set all lock modes
40569|Locking: Enable locking
40570|Locking: Disable locking
40571|Locking: Set time selection locking mode
40572|Locking: Clear time selection locking mode
40573|Locking: Toggle time selection locking mode
40574|Locking: Set full item locking mode
40575|Locking: Clear full item locking mode
40576|Locking: Toggle full item locking mode
40577|Locking: Set left/right item locking mode
40578|Locking: Clear left/right item locking mode
40579|Locking: Toggle left/right item locking mode
40580|Locking: Set up/down item locking mode
40581|Locking: Clear up/down item locking mode
40582|Locking: Toggle up/down item locking mode
40583|Locking: Set track envelope locking mode
40584|Locking: Clear track envelope locking mode
40585|Locking: Toggle track envelope locking mode
40586|Locking: Set region locking mode
40587|Locking: Clear region locking mode
40588|Locking: Toggle region locking mode
40589|Locking: Set marker locking mode
40590|Locking: Clear marker locking mode
40591|Locking: Toggle marker locking mode
40592|Locking: Set time signature marker locking mode
40593|Locking: Clear time signature marker locking mode
40594|Locking: Toggle time signature marker locking mode
40595|Locking: Set item edges locking mode
40596|Locking: Clear item edges locking mode
40597|Locking: Toggle item edges locking mode
40598|Locking: Set item fade/volume handles locking mode
40599|Locking: Clear item fade/volume handles locking mode
40600|Locking: Toggle item fade/volume handles locking mode
40601|Item: Render items to new take (preserve source type)
40602|Performance meter: Reset graph
40603|Take: Paste as takes in items
40604|Track: View track recording settings (MIDI quantize, file format/path) for last touched track
40605|Show action list
40606|Item: Glue items, expanding to time selection if any, including leading fade-in and trailing fade-out
40607|Track: Allow track media buffering
40608|Track: Prevent track media buffering
40609|Track: Allow track anticipative FX
40610|Track: Prevent track anticipative FX
40611|Item: Set item end to cursor
40612|Item: Set item end to source media end
40613|Markers: Delete marker near cursor
40614|Markers: Edit marker near cursor
40615|Markers: Delete region near cursor
40616|Markers: Edit region near cursor
40617|Markers: Delete time signature marker near cursor
40618|Markers: Edit time signature marker near cursor
40619|Show external timecode synchronization settings
40620|Toggle external timecode synchronization
40621|Options: Toggle loop points linked to time selection
40622|Time selection: Move loop points to time selection
40623|Time selection: Move time selection to loop points
40624|Loop points: Remove (unselect) loop points, if not linked to time selection, ignoring lock state
40625|Time selection: Set start point
40626|Time selection: Set end point
40627|Locking: Set loop points locking mode
40628|Locking: Clear loop points locking mode
40629|Locking: Toggle loop points locking mode
40630|Go to start of time selection
40631|Go to end of time selection
40632|Go to start of loop
40633|Go to end of loop
40634|Loop points: Remove (unselect) loop point selection
40635|Time selection: Remove (unselect) time selection
40636|Item properties: Loop item source
40637|Virtual MIDI keyboard: Send all input to VKB
40638|Item: Show FX chain for item take
40639|Take: Duplicate active take
40640|Item: Remove FX for item take
40641|Track properties: Free item positioning
40642|Take: Explode takes of items in place
40643|Take: Explode takes of items in order
40644|Item: Implode items across tracks into items on one track
40645|Item: Auto-reposition items in free item positioning mode
40646|View: Move cursor left to grid division
40647|View: Move cursor right to grid division
40648|Options: Add edge points when moving envelope points with items
40649|Options: Add envelope edge points when ripple editing or inserting time
40650|Options: Reduce envelope data when recording or drawing automation
40651|View: Toggle show/hide item labels
40652|Item properties: Set item rate to 1.0
40653|Item properties: Reset item pitch
40656|Markers: Add/move marker 10 to play/edit cursor
40657|Markers: Add/move marker 1 to play/edit cursor
40658|Markers: Add/move marker 2 to play/edit cursor
40659|Markers: Add/move marker 3 to play/edit cursor
40660|Markers: Add/move marker 4 to play/edit cursor
40661|Markers: Add/move marker 5 to play/edit cursor
40662|Markers: Add/move marker 6 to play/edit cursor
40663|Markers: Add/move marker 7 to play/edit cursor
40664|Markers: Add/move marker 8 to play/edit cursor
40665|Markers: Add/move marker 9 to play/edit cursor
40666|Record: Start new files during recording
40667|Transport: Stop (save all recorded media)
40668|Transport: Stop (DELETE all recorded media)
40669|Record: Remove recorded media not yet in project
40670|Record: Add recorded media to project
40671|Transport: Toggle preserve pitch in audio items when changing master playrate
40672|Transport: Apply playrate to current BPM
40677|Options: Show sends in TCP (when size permits)
40680|Transport: Show time signature
40681|Envelope: Set default point shape to bezier
40683|Envelope: Set shape of selected points to bezier
40684|Convert active take MIDI to in-project MIDI source data
40685|Convert active take MIDI to .mid file reference
40686|MIDI: Insert recent retroactively recorded MIDI for armed tracks
40687|Item properties: Toggle lock
40688|Item properties: Lock
40689|Item properties: Unlock
40690|Theme development: Show theme element finder
40691|View: Toggle show media cues in items
40692|Item: Import item media cues as project markers
40693|Take: Toggle take volume envelope
40694|Take: Toggle take pan envelope
40695|Take: Toggle take mute envelope
40696|Track: Rename last touched track
40697|Remove items/tracks/envelope points (depending on focus)
40698|Edit: Copy items
40699|Edit: Cut items
40701|Insert virtual instrument on new track...
40702|Track: Insert new track at end of track list
40703|View: Show item labels
40704|Item: Set to custom color...
40705|Item: Set to random colors
40706|Item: Set to one random color
40707|Item: Set to default color
40708|View: Hide item labels
40716|View: Toggle show MIDI editor windows
40717|Item: Select all items in current time selection
40718|Item: Select all items on selected tracks in current time selection
40719|Item properties: Mute
40720|Item properties: Unmute
40721|Loop points: Halve loop length
40722|Loop points: Double loop length
40723|View: Expand selected track height, minimize others
40725|Grid: Toggle measure grid
40726|Envelope: Insert 4 envelope points at time selection
40727|View: Minimize all tracks
40728|Track: Solo tracks
40729|Track: Unsolo tracks
40730|Track: Mute tracks
40731|Track: Unmute tracks
40732|Item: Split at media cues
40733|Item: Shrink to first media cue
40734|Item: Shrink to last media cue
40735|Item: Shrink to first and last media cues
40736|Track: Toggle automatic record-arm when track selected
40737|Track: Set automatic record-arm when track selected
40738|Track: Clear automatic record-arm
40740|Track: Set/clear all tracks automatic record-arm
40741|Move edit cursor to next cue in items
40742|Move edit cursor to previous cue in items
40743|Track: Nudge master track volume up
40744|Track: Nudge master track volume down
40745|Options: Solo in front
40746|Item: Split item under mouse cursor (ignore grouping, no change selection)
40748|Item: Split item under mouse cursor (ignore grouping, select right)
40749|Options: Set loop points linked to time selection
40750|Options: Unset loop points linked to time selection
40751|Track properties: Set free item positioning
40752|Track properties: Unset free item positioning/fixed item lanes
40753|Snapping: Disable snap
40754|Snapping: Enable snap
40755|Snapping: Save snap state
40756|Snapping: Restore snap state
40757|Item: Split items at edit cursor (no change selection)
40759|Item: Split items at edit cursor (select right)
40760|Edit: Dynamic split items...
40762|View: Restore next zoom/scroll position
40768|View: Show track grouping matrix window
40769|Unselect (clear selection of) all tracks/items/envelope points
40770|Track: Unset track solo defeat (all tracks)
40771|Track: Toggle all track grouping enabled
40772|Track: Set track grouping parameters...
40773|Item: Create chromatic MIDI from items
40774|Grid: Set to 1/64
40775|Grid: Set to 1/32
40776|Grid: Set to 1/16
40777|Grid: Set to 1/12 (1/8 triplet)
40778|Grid: Set to 1/8
40779|Grid: Set to 1/4
40780|Grid: Set to 1/2
40781|Grid: Set to 1
40782|Grid: Adjust by 1/1.5
40783|Grid: Adjust by 1/2
40784|Grid: Adjust by 1/3
40785|Grid: Adjust by 1.5
40786|Grid: Adjust by 2
40787|Grid: Adjust by 3
40788|Track: Render tracks to stereo stem tracks (and mute originals)
40789|Track: Render tracks to mono stem tracks (and mute originals)
40790|Move edit cursor to previous zero crossing in items
40791|Move edit cursor to next zero crossing in items
40792|Item: Split at previous zero crossing
40793|Item edit: Move items/envelope points left by grid size
40794|Item edit: Move items/envelope points right by grid size
40795|Item properties: Set take preserve pitch
40796|Item properties: Clear take preserve pitch
40797|Item properties: Increase item rate by ~6% (one semitone), clear 'preserve pitch'
40798|Item properties: Decrease item rate by ~6% (one semitone), clear 'preserve pitch'
40799|Item properties: Increase item rate by ~0.6% (10 cents), clear 'preserve pitch'
40800|Item properties: Decrease item rate by ~0.6% (10 cents), clear 'preserve pitch'
40801|Create measure from time selection (new time signature)...
40802|Time selection: Extend time selection to next transient in items
40803|Time selection: Swap left edge of time selection to next transient in items
40804|Group: Select all tracks in group 01
40805|Group: Select all tracks in group 02
40806|Group: Select all tracks in group 03
40807|Group: Select all tracks in group 04
40808|Group: Select all tracks in group 05
40809|Group: Select all tracks in group 06
40810|Group: Select all tracks in group 07
40811|Group: Select all tracks in group 08
40812|Group: Select all tracks in group 09
40813|Group: Select all tracks in group 10
40814|Group: Select all tracks in group 11
40815|Group: Select all tracks in group 12
40816|Group: Select all tracks in group 13
40817|Group: Select all tracks in group 14
40818|Group: Select all tracks in group 15
40819|Group: Select all tracks in group 16
40820|Group: Select all tracks in group 17
40821|Group: Select all tracks in group 18
40822|Group: Select all tracks in group 19
40823|Group: Select all tracks in group 20
40824|Group: Select all tracks in group 21
40825|Group: Select all tracks in group 22
40826|Group: Select all tracks in group 23
40827|Group: Select all tracks in group 24
40828|Group: Select all tracks in group 25
40829|Group: Select all tracks in group 26
40830|Group: Select all tracks in group 27
40831|Group: Select all tracks in group 28
40832|Group: Select all tracks in group 29
40833|Group: Select all tracks in group 30
40834|Group: Select all tracks in group 31
40835|Group: Select all tracks in group 32
40836|Item navigation: Move cursor to nearest transient in items
40837|Move edit cursor to start of next measure (no seek)
40838|Move edit cursor to start of current/previous measure (no seek)
40839|Move edit cursor forward one measure (no seek)
40840|Move edit cursor back one measure (no seek)
40841|Move edit cursor forward one beat (no seek)
40842|Move edit cursor back one beat (no seek)
40843|Set project tempo from time selection (new time signature)...
40844|Track: View input FX chain for current/last touched track
40845|Help: All actions
40846|Track: View FX chain for master track
40847|Item: Open item inline editors
40848|View: Restore previous zoom/scroll position
40849|File: Export project MIDI...
40850|Item: Show notes for items...
40851|Envelope: Toggle display in separate lane for selected envelope
40852|Track: Set track record mode to MIDI touch-replace
40853|Track: Toggle show/hide in TCP
40855|Item: Mute active take of multitake item within time selection
40856|Item: Solo active take of multitake item within time selection
40857|Automation lane: Increase active fader a little bit
40858|Automation lane: Decrease active fader a little bit
40859|New project tab
40860|Close current project tab
40861|Project tabs: Switch to next project tab
40862|Project tabs: Switch to previous project tab
40863|Envelope: Toggle record arm for selected envelope
40866|Track: Toggle track mute envelope active
40867|Track: Toggle track mute envelope visible
40868|Transport: Toggle transport home/end marker navigation
40869|View: Restore previous zoom level
40870|Item properties: Unmute all items
40871|Project tabs: Run background projects
40872|Project tabs: Auto-offline background project media
40873|Project tabs: Run stopped background projects
40874|Project tabs: Always show project tabs
40875|View: Restore next zoom level
40876|Global automation override: No override (set automation modes per track)
40877|Track: Freeze to multichannel (render pre-fader, save/remove items and online FX)
40878|Global automation override: All automation in trim/read mode
40879|Global automation override: All automation in read mode
40880|Global automation override: All automation in touch mode
40881|Global automation override: All automation in latch mode
40882|Global automation override: All automation in write mode
40883|Envelope: Toggle bypass for selected envelope
40884|Envelope: Toggle hide/display selected envelope
40885|Global automation override: Bypass all automation
40886|File: Close all projects
40887|Envelope: Reduce number of points...
40888|Envelope: Show all active envelopes for tracks
40889|Envelope: Hide all envelopes for tracks
40890|Envelope: Toggle show all active envelopes for tracks
40891|Envelope: Toggle display all visible envelopes in lanes for tracks
40892|Track: Render tracks to multichannel post-fader stem tracks (and mute originals)
40893|Track: Render tracks to multichannel stem tracks (and mute originals)
40894|Item: Explode multichannel audio or MIDI to new one-channel items
40895|Track: Set track record mode to output (full multichannel)
40896|Track: Set track record mode to output (full multichannel compensated)
40897|File: Save all projects
40898|Markers: Renumber all markers and regions in timeline order
40899|Track: Set track icon...
40900|Track: Remove track icon
40901|Track: Freeze to mono (render pre-fader, save/remove items and online FX)
40903|Mixer: Toggle show track icons in mixer
40904|Grid: Set framerate grid
40905|Toolbars: Customize...
40906|View: Show track manager window
40907|Track: Insert/show ReaControlMIDI (MIDI track control)
40908|Global automation override: Toggle bypass all automation
40909|Project tabs: Hide all background project windows
40910|Mixer: Toggle show FX parameters (when size permits)
40911|Item: Set focus to item under mouse cursor
40912|Options: Toggle crossfade on split (disregard toolbar auto-crossfade button)
40913|Track: Vertical scroll selected tracks into view
40914|Track: Set first selected track as last touched track
40915|Envelope: Insert new point at current position (remove nearby points)
40916|Item: Crossfade items within time selection
40917|Master track: Toggle stereo/mono (L+R)
40918|Item: Set item mix behavior to enclosed items replace enclosing items
40919|Item: Set item mix behavior to always mix
40920|Item: Explode MIDI note rows (pitch) to new items
40921|Item: Set item mix behavior to always replace
40922|Item: Set item mix behavior to project default
40923|Grid: Set measure grid
40925|Markers: Quantize tempo markers to MIDI resolution
40926|Envelope: Toggle show all active envelopes for all tracks
40927|Options: Enable crossfade on split (disregard toolbar auto-crossfade button)
40928|Options: Disable crossfade on split (disregard toolbar auto-crossfade button)
40929|File: Open render queue
40930|Item: Remove content (trim) behind items
40931|Item: Split items at project markers
40932|Item: Split items at timeline grid
40933|Tempo envelope: Set display range...
40934|Project recording settings
40936|Item properties: Normalize items to +0dB peak (reset to unity if already normalized)
40937|Item properties: Normalize items (to loudest item) to +0dB peak (reset to unity if already normalized)
40938|Item properties: Reset item take gain to +0dB (un-normalize)
40939|Track: Select track 01
40940|Track: Select track 02
40941|Track: Select track 03
40942|Track: Select track 04
40943|Track: Select track 05
40944|Track: Select track 06
40945|Track: Select track 07
40946|Track: Select track 08
40947|Track: Select track 09
40948|Track: Select track 10
40949|Track: Select track 11
40950|Track: Select track 12
40951|Track: Select track 13
40952|Track: Select track 14
40953|Track: Select track 15
40954|Track: Select track 16
40955|Track: Select track 17
40956|Track: Select track 18
40957|Track: Select track 19
40958|Track: Select track 20
40959|Track: Select track 21
40960|Track: Select track 22
40961|Track: Select track 23
40962|Track: Select track 24
40963|Track: Select track 25
40964|Track: Select track 26
40965|Track: Select track 27
40966|Track: Select track 28
40967|Track: Select track 29
40968|Track: Select track 30
40969|Track: Select track 31
40970|Track: Select track 32
40971|Track: Select track 33
40972|Track: Select track 34
40973|Track: Select track 35
40974|Track: Select track 36
40975|Track: Select track 37
40976|Track: Select track 38
40977|Track: Select track 39
40978|Track: Select track 40
40979|Track: Select track 41
40980|Track: Select track 42
40981|Track: Select track 43
40982|Track: Select track 44
40983|Track: Select track 45
40984|Track: Select track 46
40985|Track: Select track 47
40986|Track: Select track 48
40987|Track: Select track 49
40988|Track: Select track 50
40989|Track: Select track 51
40990|Track: Select track 52
40991|Track: Select track 53
40992|Track: Select track 54
40993|Track: Select track 55
40994|Track: Select track 56
40995|Track: Select track 57
40996|Track: Select track 58
40997|Track: Select track 59
40998|Track: Select track 60
40999|Track: Select track 61
41000|Track: Select track 62
41001|Track: Select track 63
41002|Track: Select track 64
41003|Track: Select track 65
41004|Track: Select track 66
41005|Track: Select track 67
41006|Track: Select track 68
41007|Track: Select track 69
41008|Track: Select track 70
41009|Track: Select track 71
41010|Track: Select track 72
41011|Track: Select track 73
41012|Track: Select track 74
41013|Track: Select track 75
41014|Track: Select track 76
41015|Track: Select track 77
41016|Track: Select track 78
41017|Track: Select track 79
41018|Track: Select track 80
41019|Track: Select track 81
41020|Track: Select track 82
41021|Track: Select track 83
41022|Track: Select track 84
41023|Track: Select track 85
41024|Track: Select track 86
41025|Track: Select track 87
41026|Track: Select track 88
41027|Track: Select track 89
41028|Track: Select track 90
41029|Track: Select track 91
41030|Track: Select track 92
41031|Track: Select track 93
41032|Track: Select track 94
41033|Track: Select track 95
41034|Track: Select track 96
41035|Track: Select track 97
41036|Track: Select track 98
41037|Track: Select track 99
41038|Pre-roll: Toggle pre-roll on record [deprecated duplicate]
41039|Loop points: Set loop points to items
41040|Move edit cursor to start of next measure
41041|Move edit cursor to start of current/previous measure
41042|Move edit cursor forward one measure
41043|Move edit cursor back one measure
41044|Move edit cursor forward one beat
41045|Move edit cursor back one beat
41046|Toggle show master tempo envelope
41047|Grid: Set to 1/128
41048|Reset project recording pass counter ($recpass wildcard)
41049|Insert new subproject...
41050|Toggle show master track and tempo envelope
41051|Item properties: Toggle take reverse
41052|Item edit: Enable relative grid snap
41053|Item edit: Disable relative grid snap
41054|Item edit: Toggle relative grid snap
41059|Item: Crossfade any overlapping items
41060|ReaScript: Run ReaScript (EEL2, Lua, or python)...
41061|ReaScript: Run last ReaScript (EEL2, Lua, or python)
41062|Project tabs: Play stopped background projects with active project
41063|Project tabs: Synchronize play start times w/ play background projects
41064|[developer] Write C++ API functions header
41065|ReaScript: Open ReaScript documentation (html)...
41067|Track: Insert multiple new tracks...
41069|Item: Move, stretch, and loop items to fit time selection
41070|Reset soft takeover for all MIDI controller assignments
41071|Options: Toggle pooled (ghost) MIDI source data when copying media items
41072|Item: Paste items/tracks, creating pooled (ghost) MIDI items and automation items regardless of preferences/Media/MIDI and preferences/Media/Automation settings
41074|Toggle show all floating windows
41075|[developer] Debug console
41076|File: Batch file converter
41077|Toggle show all floating windows (except mixer)
41078|FX: Auto-float new FX windows
41079|Toggle show all floating windows (except unattached docker)
41080|Toggle show all floating windows (except mixer and unattached docker)
41082|Fixed lane comp area: Move up
41083|Fixed lane comp area: Move down
41084|Toolbar: Show/hide toolbar docker
41085|Toolbar: Press active toolbar button 01
41086|Toolbar: Press active toolbar button 02
41087|Toolbar: Press active toolbar button 03
41088|Toolbar: Press active toolbar button 04
41089|Toolbar: Press active toolbar button 05
41090|Toolbar: Press active toolbar button 06
41091|Toolbar: Press active toolbar button 07
41092|Toolbar: Press active toolbar button 08
41093|Toolbar: Press active toolbar button 09
41094|Toolbar: Press active toolbar button 10
41095|Toolbar: Press active toolbar button 11
41096|Toolbar: Press active toolbar button 12
41097|Toolbar: Press active toolbar button 13
41098|Toolbar: Press active toolbar button 14
41099|Toolbar: Press active toolbar button 15
41100|Toolbar: Press active toolbar button 16
41105|Toolbars: Switch to toolbar 1
41106|Toolbars: Switch to toolbar 2
41107|Toolbars: Switch to toolbar 3
41108|Toolbars: Switch to toolbar 4
41109|Automation: Toggle track between touch and trim/read modes
41110|Track: Select track under mouse
41111|Toolbar: Open toolbar 1 at mouse cursor
41112|Toolbar: Open toolbar 2 at mouse cursor
41113|Toolbar: Open toolbar 3 at mouse cursor
41114|Toolbar: Open toolbar 4 at mouse cursor
41115|Item: Invert selection
41116|Options: Cycle through editing modes: Auto-crossfade off, auto-crossfade on, trim content behind media items
41117|Options: Trim content behind media items when editing
41118|Options: Enable auto-crossfades
41119|Options: Disable auto-crossfades
41120|Options: Enable trim content behind media items when editing
41121|Options: Disable trim content behind media items when editing
41122|Envelope: Increase bezier tension for selected points by 5%
41123|Envelope: Decrease bezier tension for selected points by 5%
41124|Envelope: Increase bezier tension for selected points by 25%
41125|Envelope: Decrease bezier tension for selected points by 25%
41126|Envelope: Insert new point at current position to all visible track envelopes (remove nearby points)
41127|Item: Select next adjacent non-overlapping item
41128|Item: Select previous adjacent non-overlapping item
41129|Tempo: Increase current project tempo 01 BPM
41130|Tempo: Decrease current project tempo 01 BPM
41131|Tempo: Increase current project tempo 10 percent
41132|Tempo: Decrease current project tempo 10 percent
41133|Tempo: Increase current project tempo 100 percent (double)
41134|Tempo: Decrease current project tempo 50 percent (half)
41135|Tempo: Increase current project tempo 10 BPM
41136|Tempo: Decrease current project tempo 10 BPM
41137|Tempo: Increase current project tempo 0.1 BPM
41138|Tempo: Decrease current project tempo 0.1 BPM
41139|Item navigation: Select and move to item in previous track without changing track selection
41140|Item navigation: Select and move to item in next track without changing track selection
41141|FX: Show/hide track control for last touched FX parameter
41142|FX: Show/hide track/take envelope for last touched FX parameter
41143|FX: Show parameter modulation/link for last touched FX parameter
41144|FX: Set MIDI learn for last touched FX parameter
41145|FX: Set alias for last touched FX parameter
41146|Mixer: Toggle autoarrange
41147|Track: Insert new track at end of mixer
41148|Envelope: Show all envelopes for tracks
41149|Envelope: Show all envelopes for all tracks
41150|Envelope: Hide all envelopes for all tracks
41151|Envelope: Toggle show all envelopes for tracks
41152|Envelope: Toggle show all envelopes for all tracks
41153|Mixer: Toggle show icons for the last track in a folder
41154|Mixer: Clickable icon for folder tracks to show/hide children
41155|Reset position (cascade) all floating windows
41156|Options: Selecting one grouped item selects group
41157|View: Show project bay window
41160|Automation: Write current values for all writing envelopes to time selection
41161|Automation: Write current values for all writing envelopes from cursor to start of project
41162|Automation: Write current values for all writing envelopes from cursor to end of project
41163|Automation: Unarm all envelopes
41167|Item navigation: Move cursor left to nearest item edge
41168|Item navigation: Move cursor right to nearest item edge
41171|Minimize REAPER
41172|Dock/undock currently focused dockable window, or attach/unattach focused docker
41173|Item navigation: Move cursor to start of items
41174|Item navigation: Move cursor to end of items
41175|Reset all MIDI devices
41176|Envelopes: Move selected points left a little bit
41177|Envelopes: Move selected points right a little bit
41178|Envelopes: Move selected points left by grid
41179|Envelopes: Move selected points right by grid
41180|Envelopes: Move selected points up a little bit
41181|Envelopes: Move selected points down a little bit
41182|Item: Snap items left
41183|Item: Snap items right
41184|Item: Snap items to nearest snap point
41185|Item properties: Unsolo all
41186|Options: New recording trims existing items (tape mode)
41187|Scrub: Toggle looped-segment scrub at edit cursor
41188|Scrub: Enable looped-segment scrub at edit cursor
41189|Scrub: Disable looped-segment scrub at edit cursor
41190|View: Set horizontal zoom to default project setting
41191|Item: Remove fade in
41192|Item: Remove fade out
41193|Item: Remove fade in and fade out
41194|Item: Toggle enable/disable default fadein/fadeout
41195|Item: Enable default fadein/fadeout
41196|Item: Disable default fadein/fadeout
41197|Track: Set track solo defeat
41198|Track: Unset track solo defeat
41199|Track: Toggle track solo defeat
41204|Fully unload unloaded VSTs
41205|Item edit: Move position of item to edit cursor
41206|Item: Move and stretch items to fit time selection
41207|Render all queued renders
41208|Transient detection sensitivity/threshold: Adjust...
41209|Mixer: Master track visible
41210|Grid: Set to 2
41211|Grid: Set to 4
41212|Grid: Set to 1/48 (1/32 triplet)
41213|Grid: Set to 1/24 (1/16 triplet)
41214|Grid: Set to 1/6 (1/4 triplet)
41215|Tempo envelope: Increase all tempo markers 01 BPM
41216|Tempo envelope: Decrease all tempo markers 01 BPM
41217|Tempo envelope: Increase all tempo markers 0.1 BPM
41218|Tempo envelope: Decrease all tempo markers 0.1 BPM
41219|Tempo envelope: Increase all tempo markers 0.01 BPM
41220|Tempo envelope: Decrease all tempo markers 0.01 BPM
41221|Item: Paste items/tracks at mouse position
41223|Track: Freeze to stereo (render pre-fader, save/remove items and online FX)
41226|Item edit: Nudge/Set...
41227|Item edit: Close nudge/Set dialog
41228|Item edit: Toggle nudge/Set dialog
41229|Selection set: Save set #01
41230|Selection set: Save set #02
41231|Selection set: Save set #03
41232|Selection set: Save set #04
41233|Selection set: Save set #05
41234|Selection set: Save set #06
41235|Selection set: Save set #07
41236|Selection set: Save set #08
41237|Selection set: Save set #09
41238|Selection set: Save set #10
41239|Selection set: Load set #01
41240|Selection set: Load set #02
41241|Selection set: Load set #03
41242|Selection set: Load set #04
41243|Selection set: Load set #05
41244|Selection set: Load set #06
41245|Selection set: Load set #07
41246|Selection set: Load set #08
41247|Selection set: Load set #09
41248|Selection set: Load set #10
41249|Item edit: Nudge right by last nudge dialog settings
41250|Item edit: Nudge left by last nudge dialog settings
41251|Markers: Go to marker 11
41252|Markers: Go to marker 12
41253|Markers: Go to marker 13
41254|Markers: Go to marker 14
41255|Markers: Go to marker 15
41256|Markers: Go to marker 16
41257|Markers: Go to marker 17
41258|Markers: Go to marker 18
41259|Markers: Go to marker 19
41260|Markers: Go to marker 20
41261|Markers: Go to marker 21
41262|Markers: Go to marker 22
41263|Markers: Go to marker 23
41264|Markers: Go to marker 24
41265|Markers: Go to marker 25
41266|Markers: Go to marker 26
41267|Markers: Go to marker 27
41268|Markers: Go to marker 28
41269|Markers: Go to marker 29
41270|Markers: Go to marker 30
41271|Item edit: Save nudge dialog settings 1
41272|Item edit: Save nudge dialog settings 2
41273|Item edit: Save nudge dialog settings 3
41274|Item edit: Save nudge dialog settings 4
